,id,found,title,author_x,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,bookLabel,authorLast,book,author_y,birthYear,authorLabel,book_QN,author_QN,F_name,M_name,name_match
684,PG52915,,The Will to Power: An Attempted Transvaluation of All Values. Book III and IV,"Nietzsche, Friedrich Wilhelm",1844.0,1900.0,['en'],1017,"{'Nihilism (Philosophy)', 'Values', 'Power (Philosophy)'}",,The Will to Power,Nietzsche,http://www.wikidata.org/entity/Q6581071,http://www.wikidata.org/entity/Q9358,1844.0,Friedrich Nietzsche,Q6581071,Q9358,Friedrich Wilhelm Nietzsche,empty,83
686,PG52989,,Peter Camenzind,"Hesse, Hermann",1877.0,1962.0,['fi'],14,"{'Bildungsromans', 'German fiction -- Translations into Finnish'}",,Peter Camenzind,Hesse,http://www.wikidata.org/entity/Q576493,http://www.wikidata.org/entity/Q25973,1877.0,Hermann Hesse,Q576493,Q25973,Hermann Hesse,empty,100
687,PG5301,,The Imperialist,"Duncan, Sara Jeannette",1861.0,1922.0,['en'],51,"{'Autobiographical fiction', 'Domestic fiction', 'Imperialism -- Fiction', 'Ontario -- Fiction', 'Political fiction'}",,The Imperialist,Duncan,http://www.wikidata.org/entity/Q19090533,http://www.wikidata.org/entity/Q4236309,1861.0,Sara Jeannette Duncan,Q19090533,Q4236309,Sara Jeannette Duncan,empty,100
688,PG53028,,The Hampdenshire Wonder,"Beresford, J. D. (John Davys)",1873.0,1947.0,['en'],43,{'Science fiction'},,The Hampdenshire Wonder,Beresford,http://www.wikidata.org/entity/Q7738694,http://www.wikidata.org/entity/Q3156744,1873.0,John Davys Beresford,Q7738694,Q3156744,J. D. Beresford,John Davys Beresford,100
691,PG53046,,"Ravished Armenia: The Story of Aurora Mardiganian, the Christian Girl Who Lived Through the Great Massacres","Mardiganian, Aurora",1901.0,1994.0,['en'],80,"{'World War, 1914-1918 -- Armenia', 'Armenian massacres, 1915-1923 -- Personal narratives', 'World War, 1914-1918 -- Personal narratives', 'Genocide -- Turkey', 'World War, 1914-1918 -- Atrocities'}",,Ravished Armenia,Mardiganian,http://www.wikidata.org/entity/Q4788131,http://www.wikidata.org/entity/Q4822564,1901.0,Aurora Mardiganian,Q4788131,Q4822564,Aurora Mardiganian,empty,100
692,PG53062,,At the Sign of the Silver Flagon,"Farjeon, B. L. (Benjamin Leopold)",1833.0,1903.0,['en'],16,{'English fiction -- 19th century'},,At the Sign of the Silver Flagon,Farjeon,http://www.wikidata.org/entity/Q124081655,http://www.wikidata.org/entity/Q4888572,1833.0,Benjamin Farjeon,Q124081655,Q4888572,B. L. Farjeon,Benjamin Leopold Farjeon,80
694,PG53071,,"Mark the Match Boy; or, Richard Hunter's Ward","Alger, Horatio, Jr.",1832.0,1899.0,['en'],127,"{'Friendship -- Juvenile fiction', 'New York (N.Y.) -- Juvenile fiction', 'Success -- Juvenile fiction', 'Self culture -- Juvenile fiction', 'Diligence -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Peddlers -- Juvenile fiction', 'Orphans -- Juvenile fiction', 'Youth -- Conduct of life -- Juvenile fiction'}",,Mark the Match Boy,Alger,http://www.wikidata.org/entity/Q19109631,http://www.wikidata.org/entity/Q453251,1832.0,Horatio Alger,Q19109631,Q453251,Horatio Alger,empty,100
695,PG53097,,The Murder of Delicia,"Corelli, Marie",1855.0,1924.0,['en'],51,"{'Detective and mystery stories', 'English fiction -- 19th century'}",,The Murder of Delicia,Corelli,http://www.wikidata.org/entity/Q124089094,http://www.wikidata.org/entity/Q263254,1855.0,Marie Corelli,Q124089094,Q263254,Marie Corelli,empty,100
696,PG530,,"Driven from Home; Or, Carl Crawford's Experience","Alger, Horatio, Jr.",1832.0,1899.0,['en'],79,"{'New York (N.Y.) -- Juvenile fiction', 'Didactic fiction', 'Runaway teenagers -- Juvenile fiction', 'Conduct of life -- Juvenile fiction'}",,Driven from Home,Alger,http://www.wikidata.org/entity/Q19087626,http://www.wikidata.org/entity/Q453251,1832.0,Horatio Alger,Q19087626,Q453251,Horatio Alger,empty,100
697,PG5311,,Parnassus on Wheels,"Morley, Christopher",1890.0,1957.0,['en'],118,"{'Brooklyn (New York, N.Y.) -- Fiction', 'Booksellers and bookselling -- Fiction'}",,Parnassus on Wheels,Morley,http://www.wikidata.org/entity/Q7139300,http://www.wikidata.org/entity/Q931105,1890.0,Christopher Morley,Q7139300,Q931105,Christopher Morley,empty,100
698,PG5312,,Mother Goose in Prose,"Baum, L. Frank (Lyman Frank)",1856.0,1919.0,['en'],164,"{'Folklore', 'Tales', ""Children's stories"", 'Nursery rhymes -- Adaptations'}",,Mother Goose in Prose,Baum,http://www.wikidata.org/entity/Q6917355,http://www.wikidata.org/entity/Q207544,1856.0,L. Frank Baum,Q6917355,Q207544,L. Frank Baum,Lyman Frank Baum,100
699,PG53177,,Travels on the Amazon,"Wallace, Alfred Russel",1823.0,1913.0,['en'],44,"{'Natural history -- Amazon River Valley', 'Amazon River Valley -- Description and travel', 'Indians of South America -- Amazon River Valley'}",,Travels on the Amazon,Wallace,http://www.wikidata.org/entity/Q51373939,http://www.wikidata.org/entity/Q160627,1823.0,Alfred Russel Wallace,Q51373939,Q160627,Alfred Russel Wallace,empty,100
700,PG5317,,Through the Magic Door,"Doyle, Arthur Conan",1859.0,1930.0,['en'],73,{'Books and reading -- Great Britain'},,Through the Magic Door,Doyle,http://www.wikidata.org/entity/Q121817887,http://www.wikidata.org/entity/Q35610,1859.0,Arthur Conan Doyle,Q121817887,Q35610,Arthur Conan Doyle,empty,100
701,PG53193,,Intermere,"Taylor, William Alexander",1837.0,1912.0,['en'],35,"{'Utopias', 'Utopian fiction'}",,Intermere,Taylor,http://www.wikidata.org/entity/Q17111555,http://www.wikidata.org/entity/Q57451238,1837.0,William Alexander Taylor,Q17111555,Q57451238,William Alexander Taylor,empty,100
702,PG53196,,Annabel: A Novel for Young Folks,"Baum, L. Frank (Lyman Frank)",1856.0,1919.0,['en'],42,"{'Mystery and detective stories', 'Family -- Juvenile fiction', 'Fraud -- Juvenile fiction', 'Young women -- Social life and customs -- Juvenile fiction'}",,Annabel,Baum,http://www.wikidata.org/entity/Q4767669,http://www.wikidata.org/entity/Q207544,1856.0,L. Frank Baum,Q4767669,Q207544,L. Frank Baum,Lyman Frank Baum,100
703,PG5322,,Woyzeck,"Büchner, Georg",1813.0,1837.0,['de'],573,"{'Soldiers -- Mental health -- Drama', 'Murderers -- Drama', 'Germany -- Drama'}",,Woyzeck,Büchner,http://www.wikidata.org/entity/Q657215,http://www.wikidata.org/entity/Q154014,1813.0,Georg Büchner,Q657215,Q154014,Georg Büchner,empty,100
704,PG5323,,Effi Briest,"Fontane, Theodor",1819.0,1898.0,['de'],261,"{'Berlin (Germany) -- Social life and customs -- 19th century -- Fiction', 'Teenage girls -- Fiction', 'National characteristics, Prussian -- Fiction', 'Didactic fiction', 'Prussia (Germany) -- Social life and customs -- 19th century -- Fiction', 'Adultery -- Fiction'}",,Effi Briest,Fontane,http://www.wikidata.org/entity/Q1296168,http://www.wikidata.org/entity/Q76632,1819.0,Theodor Fontane,Q1296168,Q76632,Theodor Fontane,empty,100
705,PG5324,,The Book of Were-Wolves,"Baring-Gould, S. (Sabine)",1834.0,1924.0,['en'],285,{'Werewolves'},,The Book of Were-Wolves,Baring-Gould,http://www.wikidata.org/entity/Q19080442,http://www.wikidata.org/entity/Q1242472,1834.0,Sabine Baring-Gould,Q19080442,Q1242472,S. Baring-Gould,Sabine Baring-Gould,100
706,PG53250,,The Golden Age,"Grahame, Kenneth",1859.0,1932.0,['en'],36,"{'Siblings -- Fiction', 'Country life -- Fiction', 'England -- Fiction', 'Pastoral fiction', 'Bildungsromans'}",,The Golden Age,Grahame,http://www.wikidata.org/entity/Q7736982,http://www.wikidata.org/entity/Q314897,1859.0,Kenneth Grahame,Q7736982,Q314897,Kenneth Grahame,empty,100
711,PG53323,,"Evenings at Home; Or, The Juvenile Budget Opened","Aikin, John",1747.0,1822.0,['en'],59,"{""Children's poetry"", 'Conduct of life -- Juvenile literature', 'Dialogues', ""Children's stories"", 'Children -- Conduct of life -- Juvenile literature'}",,Evenings at Home,Aikin,http://www.wikidata.org/entity/Q5416654,http://www.wikidata.org/entity/Q2712004,1747.0,John Aikin,Q5416654,Q2712004,John Aikin,empty,100
712,PG53386,,The Flying Girl,"Baum, L. Frank (Lyman Frank)",1856.0,1919.0,['en'],219,"{'California -- Juvenile fiction', 'Airplane racing -- Juvenile fiction', 'Deception -- Juvenile fiction', 'Aircraft accidents -- Juvenile fiction', 'Siblings -- Juvenile fiction', 'Women air pilots -- Juvenile fiction', 'Families -- Juvenile fiction', 'Rescues -- Juvenile fiction', 'Revenge -- Juvenile fiction'}",,The Flying Girl,Baum,http://www.wikidata.org/entity/Q7734594,http://www.wikidata.org/entity/Q207544,1856.0,L. Frank Baum,Q7734594,Q207544,L. Frank Baum,Lyman Frank Baum,100
713,PG5338,,Mark Rutherford's Deliverance,"White, William Hale",1831.0,1913.0,['en'],57,{'Religious fiction'},,Mark Rutherford's Deliverance,White,http://www.wikidata.org/entity/Q111271894,http://www.wikidata.org/entity/Q604661,1831.0,William Hale White,Q111271894,Q604661,William Hale White,empty,100
714,PG5339,,Peter Schlemihl,"Chamisso, Adelbert von",1781.0,1838.0,['en'],51,{'Fables'},,Peter Schlemihl,Chamisso,http://www.wikidata.org/entity/Q1093419,http://www.wikidata.org/entity/Q154782,1781.0,Adelbert von Chamisso,Q1093419,Q154782,Adelbert von Chamisso,empty,100
715,PG5340,,Further Chronicles of Avonlea,"Montgomery, L. M. (Lucy Maud)",1874.0,1942.0,['en'],263,"{'Islands -- Fiction', 'Prince Edward Island -- Fiction', 'Country life -- Fiction', 'Orphans -- Fiction', 'City and town life -- Fiction', 'Shirley, Anne (Fictitious character) -- Fiction'}",,Further Chronicles of Avonlea,Montgomery,http://www.wikidata.org/entity/Q5509748,http://www.wikidata.org/entity/Q273034,1874.0,Lucy Maud Montgomery,Q5509748,Q273034,L. M. Montgomery,Lucy Maud Montgomery,100
716,PG53410,,Konovalov,"Gorky, Maksim",1868.0,1936.0,['fi'],4,{'Russian fiction -- Translations into Finnish'},,Konovalov,Gorky,http://www.wikidata.org/entity/Q3816390,http://www.wikidata.org/entity/Q12706,1868.0,Maxim Gorky,Q3816390,Q12706,Maksim Gorky,empty,87
717,PG5341,,Kilmeny of the Orchard,"Montgomery, L. M. (Lucy Maud)",1874.0,1942.0,['en'],220,"{'Teachers -- Juvenile fiction', 'Mute persons -- Juvenile fiction', 'Prince Edward Island -- Juvenile fiction'}",,Kilmeny of the Orchard,Montgomery,http://www.wikidata.org/entity/Q6408015,http://www.wikidata.org/entity/Q273034,1874.0,Lucy Maud Montgomery,Q6408015,Q273034,L. M. Montgomery,Lucy Maud Montgomery,100
718,PG53429,,El sabor de la tierruca,"Pereda, José María de",1833.0,1906.0,['es'],35,{'Spanish fiction -- 19th century'},,El sabor de la tierruca,Pereda,http://www.wikidata.org/entity/Q31202237,http://www.wikidata.org/entity/Q4115628,1833.0,José María de Pereda,Q31202237,Q4115628,José María de Pereda,empty,100
719,PG5342,,The Story Girl,"Montgomery, L. M. (Lucy Maud)",1874.0,1942.0,['en'],582,"{'Storytellers -- Fiction', 'Cousins -- Fiction', 'Prince Edward Island -- Fiction'}",,The Story Girl,Montgomery,http://www.wikidata.org/entity/Q3270964,http://www.wikidata.org/entity/Q273034,1874.0,Lucy Maud Montgomery,Q3270964,Q273034,L. M. Montgomery,Lucy Maud Montgomery,100
720,PG53430,,Principia Ethica,"Moore, G. E. (George Edward)",1873.0,1958.0,['en'],643,{'Ethics'},,Principia Ethica,Moore,http://www.wikidata.org/entity/Q2344885,http://www.wikidata.org/entity/Q295386,1873.0,G. E. Moore,Q2344885,Q295386,G. E. Moore,George Edward Moore,100
721,PG5343,,Rainbow Valley,"Montgomery, L. M. (Lucy Maud)",1874.0,1942.0,['en'],577,"{'Prince Edward Island -- Juvenile fiction', 'Family life -- Juvenile fiction', 'Friendship -- Juvenile fiction', 'Foster home care -- Juvenile fiction', 'Siblings -- Juvenile fiction', 'Historical fiction', 'Orphans -- Juvenile fiction', 'Canada -- History -- 20th century -- Juvenile fiction'}",,Rainbow Valley,Montgomery,http://www.wikidata.org/entity/Q2394369,http://www.wikidata.org/entity/Q273034,1874.0,Lucy Maud Montgomery,Q2394369,Q273034,L. M. Montgomery,Lucy Maud Montgomery,100
722,PG53453,,Instincts of the Herd in Peace and War,"Trotter, W. (Wilfred)",1872.0,1939.0,['en'],210,"{'Crowds', 'World War, 1914-1918 -- Psychological aspects', 'Collective behavior', 'Social psychology'}",,Instincts of the Herd in Peace and War,Trotter,http://www.wikidata.org/entity/Q6038935,http://www.wikidata.org/entity/Q2571058,1872.0,Wilfred Trotter,Q6038935,Q2571058,W. Trotter,Wilfred Trotter,100
723,PG5347,,Understood Betsy,"Fisher, Dorothy Canfield",1879.0,1958.0,['en'],343,"{'Self-perception -- Juvenile fiction', 'Orphans -- Juvenile fiction', 'Country life -- Juvenile fiction', 'Vermont -- Juvenile fiction'}",,Understood Betsy,Fisher,http://www.wikidata.org/entity/Q7883802,http://www.wikidata.org/entity/Q5298346,1879.0,Dorothy Canfield Fisher,Q7883802,Q5298346,Dorothy Canfield Fisher,empty,100
724,PG5348,,"Ragged Dick, Or, Street Life in New York with the Boot-Blacks","Alger, Horatio, Jr.",1832.0,1899.0,['en'],827,"{'Shoe shiners -- Fiction', 'Street children -- Fiction', 'New York (N.Y.) -- Fiction', 'Boys -- Fiction', 'Bildungsromans', 'Poor children -- Fiction'}",,Ragged Dick,Alger,http://www.wikidata.org/entity/Q7282890,http://www.wikidata.org/entity/Q453251,1832.0,Horatio Alger,Q7282890,Q453251,Horatio Alger,empty,100
725,PG53490,,William Shakespeare,"Hugo, Victor",1802.0,1885.0,['en'],147,"{'Shakespeare, William, 1564-1616', 'Stratford-upon-Avon (England) -- Biography', 'Dramatists, English -- Early modern, 1500-1700 -- Biography'}",,William Shakespeare,Hugo,http://www.wikidata.org/entity/Q8018310,http://www.wikidata.org/entity/Q535,1802.0,Victor Hugo,Q8018310,Q535,Victor Hugo,empty,100
727,PG534,,An Inland Voyage,"Stevenson, Robert Louis",1850.0,1894.0,['en'],101,{'France -- Description and travel'},,An Inland Voyage,Stevenson,http://www.wikidata.org/entity/Q3563373,http://www.wikidata.org/entity/Q1512,1850.0,Robert Louis Stevenson,Q3563373,Q1512,Robert Louis Stevenson,empty,100
728,PG53516,,This Misery of Boots,"Wells, H. G. (Herbert George)",1866.0,1946.0,['en'],28,{'Socialism'},,This Misery of Boots,Wells,http://www.wikidata.org/entity/Q7786147,http://www.wikidata.org/entity/Q42511,1866.0,H. G. Wells,Q7786147,Q42511,H. G. Wells,Herbert George Wells,100
729,PG5351,,If I Were King,"McCarthy, Justin H. (Justin Huntly)",1860.0,1936.0,['en'],39,"{'Villon, François, 1431-1463 -- Fiction', 'France -- History -- Louis XI, 1461-1483 -- Fiction'}",,If I Were King,McCarthy,http://www.wikidata.org/entity/Q123598936,http://www.wikidata.org/entity/Q6317720,1860.0,Justin Huntly McCarthy,Q123598936,Q6317720,Justin H. McCarthy,Justin Huntly McCarthy,100
730,PG5353,,"Guy Mannering, Or, the Astrologer — Volume 01","Scott, Walter",1771.0,1832.0,['en'],30,"{'Inheritance and succession -- Fiction', 'Scotland -- Fiction', 'Astrologers -- Fiction', 'Historical fiction', 'Disinheritance -- Fiction'}",,Guy Mannering,Scott,http://www.wikidata.org/entity/Q2288976,http://www.wikidata.org/entity/Q79025,1771.0,Walter Scott,Q2288976,Q79025,Walter Scott,empty,100
733,PG5354,,"Guy Mannering, Or, the Astrologer — Volume 02","Scott, Walter",1771.0,1832.0,['en'],28,"{'Inheritance and succession -- Fiction', 'Scotland -- Fiction', 'Astrologers -- Fiction', 'Historical fiction', 'Disinheritance -- Fiction'}",,Guy Mannering,Scott,http://www.wikidata.org/entity/Q2288976,http://www.wikidata.org/entity/Q79025,1771.0,Walter Scott,Q2288976,Q79025,Walter Scott,empty,100
736,PG5355,,"Guy Mannering, Or, the Astrologer — Complete","Scott, Walter",1771.0,1832.0,['en'],47,"{'Inheritance and succession -- Fiction', 'Scotland -- Fiction', 'Astrologers -- Fiction', 'Historical fiction', 'Disinheritance -- Fiction'}",,Guy Mannering,Scott,http://www.wikidata.org/entity/Q2288976,http://www.wikidata.org/entity/Q79025,1771.0,Walter Scott,Q2288976,Q79025,Walter Scott,empty,100
739,PG53566,,The Fate of a Crown,"Baum, L. Frank (Lyman Frank)",1856.0,1919.0,['en'],38,"{'Revolutions -- Fiction', 'Brazil -- Fiction'}",,The Fate of a Crown,Baum,http://www.wikidata.org/entity/Q7733533,http://www.wikidata.org/entity/Q207544,1856.0,L. Frank Baum,Q7733533,Q207544,L. Frank Baum,Lyman Frank Baum,100
740,PG53587,,"El doncel de don Enrique el doliente, Tomo I (de 4): Historia caballeresca del siglo quince","Larra, Mariano José de",1809.0,1837.0,['es'],18,"{'Henry III, King of Castile and León, 1379-1406 -- Fiction'}",,El doncel de don Enrique el doliente,Larra,http://www.wikidata.org/entity/Q5824761,http://www.wikidata.org/entity/Q298773,1809.0,Mariano José de Larra,Q5824761,Q298773,Mariano José de Larra,empty,100
744,PG53588,,"El doncel de don Enrique el doliente, Tomo II (de 4): Historia caballeresca del siglo quince","Larra, Mariano José de",1809.0,1837.0,['es'],11,"{'Henry III, King of Castile and León, 1379-1406 -- Fiction'}",,El doncel de don Enrique el doliente,Larra,http://www.wikidata.org/entity/Q5824761,http://www.wikidata.org/entity/Q298773,1809.0,Mariano José de Larra,Q5824761,Q298773,Mariano José de Larra,empty,100
748,PG53589,,"El doncel de don Enrique el doliente, Tomo III (de 4): Historia caballeresca del siglo quince","Larra, Mariano José de",1809.0,1837.0,['es'],8,"{'Henry III, King of Castile and León, 1379-1406 -- Fiction'}",,El doncel de don Enrique el doliente,Larra,http://www.wikidata.org/entity/Q5824761,http://www.wikidata.org/entity/Q298773,1809.0,Mariano José de Larra,Q5824761,Q298773,Mariano José de Larra,empty,100
752,PG53590,,"El doncel de don Enrique el doliente, Tomo IV (de 4): Historia caballeresca del siglo quince","Larra, Mariano José de",1809.0,1837.0,['es'],20,"{'Henry III, King of Castile and León, 1379-1406 -- Fiction'}",,El doncel de don Enrique el doliente,Larra,http://www.wikidata.org/entity/Q5824761,http://www.wikidata.org/entity/Q298773,1809.0,Mariano José de Larra,Q5824761,Q298773,Mariano José de Larra,empty,100
756,PG53628,,Der Stechlin: Roman,"Fontane, Theodor",1819.0,1898.0,['de'],89,"{'Germany -- History -- 1871-1918 -- Fiction', 'German fiction -- 19th century'}",,Der Stechlin,Fontane,http://www.wikidata.org/entity/Q1197130,http://www.wikidata.org/entity/Q76632,1819.0,Theodor Fontane,Q1197130,Q76632,Theodor Fontane,empty,100
757,PG53678,,On Naval Timber and Arboriculture: With Critical Notes on Authors who have Recently Treated the Subject of Planting,"Matthew, Patrick",1790.0,1874.0,['en'],44,{'Forests and forestry -- Great Britain'},,On Naval Timber and Arboriculture,Matthew,http://www.wikidata.org/entity/Q48773532,http://www.wikidata.org/entity/Q3345956,1790.0,Patrick Matthew,Q48773532,Q3345956,Patrick Matthew,empty,100
774,PG53707,,St. Leon: A Tale of the Sixteenth Century,"Godwin, William",1756.0,1836.0,['en'],50,"{'Aristocracy (Social class) -- Fiction', 'Alchemists -- Fiction', 'Gothic fiction', 'Europe -- History -- 1517-1648 -- Fiction', 'Historical fiction', 'Reformation -- Fiction'}",,St. Leon,Godwin,http://www.wikidata.org/entity/Q7589523,http://www.wikidata.org/entity/Q188569,1756.0,William Godwin,Q7589523,Q188569,William Godwin,empty,100
775,PG53711,,The Orchid,"Grant, Robert",1852.0,1940.0,['en'],25,"{'Triangles (Interpersonal relations) -- Fiction', 'Social problems -- Fiction', 'Married people -- Fiction', 'Rich people -- Fiction', 'Man-woman relationships -- Fiction', 'Divorce -- Fiction'}",,The Orchid,Grant,http://www.wikidata.org/entity/Q7755292,http://www.wikidata.org/entity/Q7344917,1852.0,Robert Grant,Q7755292,Q7344917,Robert Grant,empty,100
776,PG53720,,On Love,Stendhal,1783.0,1842.0,['en'],401,{'Love'},,On Love,Stendhal,http://www.wikidata.org/entity/Q2533282,http://www.wikidata.org/entity/Q502,1783.0,Stendhal,Q2533282,Q502,Stendhal,empty,100
777,PG53735,,The Daring Twins: A Story for Young Folk,"Baum, L. Frank (Lyman Frank)",1856.0,1919.0,['en'],45,"{'Mystery and detective stories', 'Twins -- Juvenile fiction', 'Orphans -- Juvenile fiction', 'Fraud -- Juvenile fiction'}",,The Daring Twins,Baum,http://www.wikidata.org/entity/Q7728900,http://www.wikidata.org/entity/Q207544,1856.0,L. Frank Baum,Q7728900,Q207544,L. Frank Baum,Lyman Frank Baum,100
778,PG53754,,The Captain of the Wight: A Romance of Carisbrooke Castle in 1488,"Cowper, Frank",1849.0,1930.0,['en'],29,"{'Middle Ages -- Juvenile fiction', 'Chivalry -- Juvenile fiction'}",,The Captain of the Wight,Cowper,http://www.wikidata.org/entity/Q112064508,http://www.wikidata.org/entity/Q23715146,1849.0,Frank Cowper,Q112064508,Q23715146,Frank Cowper,empty,100
779,PG53763,,The Intermediate Sex: A Study of Some Transitional Types of Men and Women,"Carpenter, Edward",1844.0,1929.0,['en'],136,"{'Homosexuality', 'Sex'}",,The Intermediate Sex,Carpenter,http://www.wikidata.org/entity/Q7742277,http://www.wikidata.org/entity/Q984217,1844.0,Edward Carpenter,Q7742277,Q984217,Edward Carpenter,empty,100
781,PG53799,,"A General View of Positivism: Or, Summary exposition of the System of Thought and Life","Comte, Auguste",1798.0,1857.0,['en'],212,{'Positivism'},,A General View of Positivism,Comte,http://www.wikidata.org/entity/Q4656951,http://www.wikidata.org/entity/Q12718,1798.0,Auguste Comte,Q4656951,Q12718,Auguste Comte,empty,100
782,PG537,,Tales of Terror and Mystery,"Doyle, Arthur Conan",1859.0,1930.0,['en'],638,"{'Horror tales, English', 'Detective and mystery stories, English'}",,Tales of Terror and Mystery,Doyle,http://www.wikidata.org/entity/Q18546595,http://www.wikidata.org/entity/Q35610,1859.0,Arthur Conan Doyle,Q18546595,Q35610,Arthur Conan Doyle,empty,100
783,PG5383,,"The Celebrity, Volume 01","Churchill, Winston",1871.0,1947.0,['en'],26,"{'Celebrities -- Fiction', 'Authorship -- Fiction', 'Authors -- Fiction'}",,The Celebrity,Churchill,http://www.wikidata.org/entity/Q16385248,http://www.wikidata.org/entity/Q715814,1871.0,Winston Churchill,Q16385248,Q715814,Winston Churchill,empty,100
788,PG5384,,"The Celebrity, Volume 02","Churchill, Winston",1871.0,1947.0,['en'],18,"{'Celebrities -- Fiction', 'Authorship -- Fiction', 'Authors -- Fiction'}",,The Celebrity,Churchill,http://www.wikidata.org/entity/Q16385248,http://www.wikidata.org/entity/Q715814,1871.0,Winston Churchill,Q16385248,Q715814,Winston Churchill,empty,100
793,PG5385,,"The Celebrity, Volume 03","Churchill, Winston",1871.0,1947.0,['en'],19,"{'Celebrities -- Fiction', 'Authorship -- Fiction', 'Authors -- Fiction'}",,The Celebrity,Churchill,http://www.wikidata.org/entity/Q16385248,http://www.wikidata.org/entity/Q715814,1871.0,Winston Churchill,Q16385248,Q715814,Winston Churchill,empty,100
798,PG5386,,"The Celebrity, Volume 04","Churchill, Winston",1871.0,1947.0,['en'],17,"{'Celebrities -- Fiction', 'Authorship -- Fiction', 'Authors -- Fiction'}",,The Celebrity,Churchill,http://www.wikidata.org/entity/Q16385248,http://www.wikidata.org/entity/Q715814,1871.0,Winston Churchill,Q16385248,Q715814,Winston Churchill,empty,100
803,PG5387,,"The Celebrity, Complete","Churchill, Winston",1871.0,1947.0,['en'],60,"{'Celebrities -- Fiction', 'Authorship -- Fiction', 'Authors -- Fiction'}",,The Celebrity,Churchill,http://www.wikidata.org/entity/Q16385248,http://www.wikidata.org/entity/Q715814,1871.0,Winston Churchill,Q16385248,Q715814,Winston Churchill,empty,100
808,PG53849,,The Symbolist Movement in Literature,"Symons, Arthur",1865.0,1945.0,['en'],213,"{'Symbolism (Literary movement) -- France', 'French literature -- 19th century -- History and criticism'}",,The Symbolist Movement in Literature,Symons,http://www.wikidata.org/entity/Q7767807,http://www.wikidata.org/entity/Q711666,1865.0,Arthur Symons,Q7767807,Q711666,Arthur Symons,empty,100
809,PG53910,,The School and Society: Being three lectures,"Dewey, John",1859.0,1952.0,['en'],393,"{'University of Chicago. University Elementary School', 'Educational psychology', 'Education', 'Education -- Philosophy'}",,The School and Society,Dewey,http://www.wikidata.org/entity/Q23022314,http://www.wikidata.org/entity/Q131805,1859.0,John Dewey,Q23022314,Q131805,John Dewey,empty,100
810,PG53984,,"Tarzan, apinain kuningas: Seikkailuromaani Afrikan aarniometsistä","Burroughs, Edgar Rice",1875.0,1950.0,['fi'],31,"{'Wild men -- Fiction', 'British -- Africa -- Fiction', 'Adventure stories', 'Tarzan (Fictitious character) -- Fiction', 'Fantasy fiction', 'Africa -- Fiction'}",,Tarzan,Burroughs,http://www.wikidata.org/entity/Q5965446,http://www.wikidata.org/entity/Q148234,1875.0,Edgar Rice Burroughs,Q5965446,Q148234,Edgar Rice Burroughs,empty,100
811,PG5401,,Old Rose and Silver,"Reed, Myrtle",1874.0,1911.0,['en'],30,"{'Musicians -- Fiction', 'American fiction -- 20th century', 'Man-woman relationships -- Fiction'}",,Old Rose and Silver,Reed,http://www.wikidata.org/entity/Q7084871,http://www.wikidata.org/entity/Q536012,1874.0,Myrtle Reed,Q7084871,Q536012,Myrtle Reed,empty,100
812,PG54048,,"The Romany Rye: A sequel to ""Lavengro""","Borrow, George",1803.0,1881.0,['en'],22,"{'Adventure stories', 'England -- Fiction', 'Romanies -- Fiction'}",,The Romany Rye,Borrow,http://www.wikidata.org/entity/Q7761435,http://www.wikidata.org/entity/Q2137717,1803.0,George Borrow,Q7761435,Q2137717,George Borrow,empty,100
813,PG54068,,Hearts of Three,"London, Jack",1876.0,1916.0,['en'],87,"{'Adventure stories', 'Fantasy fiction'}",,Hearts of Three,London,http://www.wikidata.org/entity/Q4417229,http://www.wikidata.org/entity/Q45765,1876.0,Jack London,Q4417229,Q45765,Jack London,empty,100
814,PG54096,,Olga Romanoff,"Griffith, George Chetwynd",1857.0,1906.0,['en'],24,{'Science fiction'},,Olga Romanoff,Griffith,http://www.wikidata.org/entity/Q7086669,http://www.wikidata.org/entity/Q4119359,1857.0,George Griffith,Q7086669,Q4119359,George Chetwynd Griffith,empty,77
815,PG54108,,Squire Arden; volume 1 of 3,"Oliphant, Mrs. (Margaret)",1828.0,1897.0,['en'],24,"{'England -- Fiction', 'Families -- Fiction', 'Inheritance and succession -- Fiction', 'Landowners -- Fiction'}",,Squire Arden,Oliphant,http://www.wikidata.org/entity/Q16948396,http://www.wikidata.org/entity/Q2415217,1828.0,Margaret Oliphant,Q16948396,Q2415217,Mrs. Oliphant,Margaret Oliphant,100
818,PG54122,,Squire Arden; volume 2 of 3,"Oliphant, Mrs. (Margaret)",1828.0,1897.0,['en'],23,"{'England -- Fiction', 'Families -- Fiction', 'Inheritance and succession -- Fiction', 'Landowners -- Fiction'}",,Squire Arden,Oliphant,http://www.wikidata.org/entity/Q16948396,http://www.wikidata.org/entity/Q2415217,1828.0,Margaret Oliphant,Q16948396,Q2415217,Mrs. Oliphant,Margaret Oliphant,100
