,author,birthYear,authorLabel,genderLabel,citizenshipLabel,religionLabel,nativeLanguageLabel,deathYear
0,http://www.wikidata.org/entity/Q5337523,1850,Edgar Wilson Nye,male,United States of America,,,1896
0,http://www.wikidata.org/entity/Q5075251,1870,Charles Augustus Kincaid,male,United Kingdom,,,1954
1,http://www.wikidata.org/entity/Q5075251,1870,Charles Augustus Kincaid,male,United Kingdom of Great Britain and Ireland,,,1954
0,http://www.wikidata.org/entity/Q102513,1811,Harriet beecher stowe,female,United States of America,Protestantism,English,1896
0,http://www.wikidata.org/entity/Q1699846,1882,John Drinkwater,male,United Kingdom,,,1937
1,http://www.wikidata.org/entity/Q1699846,1882,John Drinkwater,male,United Kingdom of Great Britain and Ireland,,,1937
0,http://www.wikidata.org/entity/Q18911708,1876,Marjorie Benton Cooke,female,United States of America,,,1920
0,http://www.wikidata.org/entity/Q5531480,1863,Gene Stratton-Porter,female,United States of America,,,1924
1,http://www.wikidata.org/entity/Q5531480,1868,Gene Stratton-Porter,female,United States of America,,,1924
0,http://www.wikidata.org/entity/Q506757,1858,Charles Chesnutt,male,United States of America,,,1932
1,http://www.wikidata.org/entity/Q506757,1858,Charles Chesnutt,male,United States of America,,,1932
2,http://www.wikidata.org/entity/Q506757,1858,Charles Chesnutt,male,United States of America,,,1932
0,http://www.wikidata.org/entity/Q2517956,1865,M. P. Shiel,male,United Kingdom,,,1947
1,http://www.wikidata.org/entity/Q2517956,1865,M. P. Shiel,male,United Kingdom of Great Britain and Ireland,,,1947
0,http://www.wikidata.org/entity/Q965927,1852,George Moore,male,Republic of Ireland,,,1933
0,http://www.wikidata.org/entity/Q1382113,1809,Margaret Gatty,female,United Kingdom of Great Britain and Ireland,,English,1873
0,http://www.wikidata.org/entity/Q713284,1886,Felix Timmermans,male,Belgium,,Dutch,1947
0,http://www.wikidata.org/entity/Q276028,1849,Frances Hodgson Burnett,female,United States of America,Christian Science,English,1924
1,http://www.wikidata.org/entity/Q276028,1849,Frances Hodgson Burnett,female,United Kingdom,Christian Science,English,1924
2,http://www.wikidata.org/entity/Q276028,1849,Frances Hodgson Burnett,female,United Kingdom of Great Britain and Ireland,Christian Science,English,1924
0,http://www.wikidata.org/entity/Q4798900,1838,Arthur Griffiths,male,United Kingdom of Great Britain and Ireland,,,1908
0,http://www.wikidata.org/entity/Q457287,1863,Anthony Hope,male,United Kingdom,,English,1933
1,http://www.wikidata.org/entity/Q457287,1863,Anthony Hope,male,United Kingdom of Great Britain and Ireland,,English,1933
0,http://www.wikidata.org/entity/Q34190,1707,Henry Fielding,male,Kingdom of Great Britain,,,1754
0,http://www.wikidata.org/entity/Q183167,1874,G. K. Chesterton,male,United Kingdom,Catholicism,,1936
1,http://www.wikidata.org/entity/Q183167,1874,G. K. Chesterton,male,United Kingdom,Anglicanism,,1936
0,http://www.wikidata.org/entity/Q3297881,1849,James Lane Allen,male,United States of America,,,1925
0,http://www.wikidata.org/entity/Q560015,1886,Hugh Lofting,male,United Kingdom,Catholic Church,English,1947
0,http://www.wikidata.org/entity/Q35064,1890,Agatha Christie,female,United Kingdom,,English,1976
1,http://www.wikidata.org/entity/Q35064,1890,Agatha Christie,female,United Kingdom of Great Britain and Ireland,,English,1976
0,http://www.wikidata.org/entity/Q191026,1822,Francis Galton,male,United Kingdom of Great Britain and Ireland,,English,1911
0,http://www.wikidata.org/entity/Q123469,1885,Sinclair Lewis,male,United States of America,atheism,,1951
0,http://www.wikidata.org/entity/Q5536746,1866,George Barr McCutcheon,male,United States of America,,,1928
0,http://www.wikidata.org/entity/Q6221558,1865,John Bennett,male,United States of America,,,1956
1,http://www.wikidata.org/entity/Q6221558,1865,John Bennett,male,United States of America,,,1956
0,http://www.wikidata.org/entity/Q369790,1857,George Gissing,male,United Kingdom of Great Britain and Ireland,,,1903
0,http://www.wikidata.org/entity/Q984,1879,Miles Franklin,female,Australia,,,1954
0,http://www.wikidata.org/entity/Q246953,1871,Robert Hugh Benson,male,United Kingdom of Great Britain and Ireland,Catholic Church,,1914
1,http://www.wikidata.org/entity/Q246953,1871,Robert Hugh Benson,male,United Kingdom of Great Britain and Ireland,Anglicanism,,1914
0,http://www.wikidata.org/entity/Q723374,1879,James Branch Cabell,male,United States of America,,,1958
0,http://www.wikidata.org/entity/Q318399,1815,Anthony Trollope,male,United Kingdom of Great Britain and Ireland,,,1882
0,http://www.wikidata.org/entity/Q37693,1848,Paul Gauguin,male,France,,,1903
0,http://www.wikidata.org/entity/Q442130,1846,Anna Katharine Green,female,United States of America,,,1935
0,http://www.wikidata.org/entity/Q41502,1846,Henryk Sienkiewicz,male,Poland,Catholicism,Polish,1916
