,id,found,title,author_x,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,bookLabel,authorLast,book,author_y,birthYear,authorLabel,book_QN,author_QN
386,PG48197,,"Hester: A Story of Contemporary Life, Volume 1 (of 3)","Oliphant, Mrs. (Margaret)",1828,1897,['en'],85,"{'Domestic fiction', 'Love stories', 'Conflict of generations -- Fiction', 'Triangles (Interpersonal relations) -- Fiction', 'Young women -- Fiction', 'Psychological fiction', 'England -- Fiction', 'Women bankers -- Fiction', 'Older women -- Fiction', 'Family-owned business enterprises -- Fiction'}",,Hester,Oliphant,http://www.wikidata.org/entity/Q24255940,http://www.wikidata.org/entity/Q2415217,1828,Margaret Oliphant,Q24255940,Q2415217
395,PG48217,,The Treasure of the Humble,"Maeterlinck, Maurice",1862,1949,['en'],72,"{'Mysticism', 'Essays'}",,The Treasure of the Humble,Maeterlinck,http://www.wikidata.org/entity/Q7770050,http://www.wikidata.org/entity/Q49747,1862,Maurice Maeterlinck,Q7770050,Q49747
396,PG482,,The Woodlanders,"Hardy, Thomas",1840,1928,['en'],271,"{'Love stories', 'Triangles (Interpersonal relations) -- Fiction', 'Forests and forestry -- Fiction', 'Psychological fiction', 'Arranged marriage -- Fiction', 'Pastoral fiction', 'Dorset (England) -- Fiction', 'Social classes -- Fiction'}",,The Woodlanders,Hardy,http://www.wikidata.org/entity/Q2254480,http://www.wikidata.org/entity/Q132805,1840,Thomas Hardy,Q2254480,Q132805
397,PG48304,,The Family at Misrule,"Turner, Ethel",1870,1958,['en'],49,"{'Country life -- Juvenile fiction', 'Obedience -- Juvenile fiction', 'Children -- Conduct of life -- Juvenile fiction', 'Family -- Juvenile fiction', 'Woolcot family (Fictitious characters) -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Students -- Juvenile fiction', 'Domestic fiction, Australian', 'Siblings -- Juvenile fiction', 'Australia -- Juvenile fiction'}",,The Family at Misrule,Turner,http://www.wikidata.org/entity/Q122735873,http://www.wikidata.org/entity/Q3327092,1870,Ethel Turner,Q122735873,Q3327092
398,PG48315,,David Blaize,"Benson, E. F. (Edward Frederic)",1867,1940,['en'],32,"{'Boarding schools -- England -- Fiction', 'Boys -- Fiction'}",,David Blaize,Benson,http://www.wikidata.org/entity/Q5231458,http://www.wikidata.org/entity/Q771698,1867,Edward Frederic Benson,Q5231458,Q771698
399,PG48371,,A Spring Harvest,"Smith, Geoffrey Bache",1894,1916,['en'],304,"{'English poetry -- 20th century', 'World War, 1914-1918 -- Poetry'}",,A Spring Harvest,Smith,http://www.wikidata.org/entity/Q118873978,http://www.wikidata.org/entity/Q22109568,1894,G.B. Smith,Q118873978,Q22109568
402,PG485,,The Road to Oz,"Baum, L. Frank (Lyman Frank)",1856,1919,['en'],121,"{'Good and evil -- Juvenile fiction', 'Kings and rulers -- Juvenile fiction', 'Princess Ozma (Fictitious character) -- Juvenile fiction', 'Fantasy literature', 'Uncles -- Juvenile fiction', 'Animals, Mythical -- Juvenile fiction', 'Magic -- Juvenile fiction', 'Farms -- Juvenile fiction', 'Oz (Imaginary place) -- Juvenile fiction', 'Gale, Dorothy (Fictitious character) -- Juvenile fiction', 'Voyages and travels -- Juvenile fiction'}",,The Road to Oz,Baum,http://www.wikidata.org/entity/Q1250364,http://www.wikidata.org/entity/Q207544,1856,L. Frank Baum,Q1250364,Q207544
404,PG48641,,"Monsieur Lecoq, v. 2","Gaboriau, Emile",1832,1873,['en'],40,"{'French fiction -- Translations into English', 'Detective and mystery stories'}",,Monsieur Lecoq,Gaboriau,http://www.wikidata.org/entity/Q6902552,http://www.wikidata.org/entity/Q463513,1832,Émile Gaboriau,Q6902552,Q463513
405,PG48662,,Carmen: Espanjalaisen mustalaistytön elämäntarina,"Mérimée, Prosper",1803,1870,['fi'],17,"{'French fiction -- Translations into Finnish', 'Spain -- Social life and customs -- 19th century -- Fiction', 'Carmen (Fictitious character) -- Fiction'}",,Carmen,Mérimée,http://www.wikidata.org/entity/Q674832,http://www.wikidata.org/entity/Q160333,1803,Prosper Mérimée,Q674832,Q160333
406,PG48662,,Carmen: Espanjalaisen mustalaistytön elämäntarina,"Mérimée, Prosper",1803,1870,['fi'],17,"{'French fiction -- Translations into Finnish', 'Spain -- Social life and customs -- 19th century -- Fiction', 'Carmen (Fictitious character) -- Fiction'}",,Carmen,Mérimée,http://www.wikidata.org/entity/Q25706718,http://www.wikidata.org/entity/Q160333,1803,Prosper Mérimée,Q25706718,Q160333
