,Unnamed: 0,id,found,title,author_x,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,bookLabel,authorLast,book,author_y,birthYear,authorLabel,book_QN,author_QN,name
520,1250,PG15593,,Les aventures de M. Colin-Tampon,"Girardin, Jules",1832,1888.0,['fr'],10,"{'Humorous stories', 'Hunting stories', ""Children's stories, French""}",,Les aventures de M. Colin-Tampon,Girardin,http://www.wikidata.org/entity/Q6530121,http://www.wikidata.org/entity/Q6305859,1832,Jules Girardin,Q6530121,Q6305859,Jules Girardin
521,1251,PG155,,The Moonstone,"Collins, Wilkie",1824,1889.0,['en'],1828,"{'Police -- England -- Fiction', 'Mystery fiction', 'East Indians -- England -- Fiction', 'Jewelry theft -- Fiction', 'England -- Fiction', 'Country homes -- Fiction'}",,The Moonstone,Collins,http://www.wikidata.org/entity/Q2362563,http://www.wikidata.org/entity/Q210740,1824,Wilkie Collins,Q2362563,Q210740,Wilkie Collins
523,1253,PG1563,,The Crystal Stopper,"Leblanc, Maurice",1864,1941.0,['en'],337,"{'Burglars -- Fiction', 'Lupin, Arsène (Fictitious character) -- Fiction', 'Detective and mystery stories'}",,The Crystal Stopper,Leblanc,http://www.wikidata.org/entity/Q726902,http://www.wikidata.org/entity/Q314993,1864,Maurice Leblanc,Q726902,Q314993,Maurice Leblanc
524,1255,PG15645,,Port-Tarascon: Dernières aventures de l'illustre Tartarin,"Daudet, Alphonse",1840,1897.0,['fr'],14,{'French fiction -- 19th century'},,Port-Tarascon,Daudet,http://www.wikidata.org/entity/Q110315850,http://www.wikidata.org/entity/Q228546,1840,Alphonse Daudet,Q110315850,Q228546,Alphonse Daudet
525,1256,PG15673,,The Day of the Beast,"Grey, Zane",1872,1939.0,['en'],90,"{'Disabled veterans -- United States -- Fiction', 'Social change -- Fiction'}",,The Day of the Beast,Grey,http://www.wikidata.org/entity/Q7729207,http://www.wikidata.org/entity/Q146763,1872,Zane Grey,Q7729207,Q146763,Zane Grey
526,1257,PG1567,,Poems,"Eliot, T. S. (Thomas Stearns)",1888,1965.0,['en'],808,{'Poetry'},,Poems,Eliot,http://www.wikidata.org/entity/Q19038789,http://www.wikidata.org/entity/Q37767,1888,T. S. Eliot,Q19038789,Q37767,T. S. Eliot
527,1289,PG15707,,"Zoonomia; Or, the Laws of Organic Life, Vol. I","Darwin, Erasmus",1731,1802.0,['en'],168,"{'Evolution (Biology) -- Early works to 1800', 'Physiology -- Early works to 1800', 'Pathology -- Early works to 1800', 'Medicine -- Early works to 1800'}",,Zoonomia,Darwin,http://www.wikidata.org/entity/Q1980731,http://www.wikidata.org/entity/Q234050,1731,Erasmus Darwin,Q1980731,Q234050,Erasmus Darwin
528,1293,PG15714,,The Poor Little Rich Girl,"Gates, Eleanor",1875,1951.0,['en'],37,"{'New York (N.Y.) -- Juvenile fiction', 'Upper class families -- Juvenile fiction', 'Children of the rich -- Juvenile fiction', 'Fantasy literature'}",,The Poor Little Rich Girl,Gates,http://www.wikidata.org/entity/Q3988789,http://www.wikidata.org/entity/Q3721233,1875,Eleanor Gates,Q3988789,Q3721233,Eleanor Gates
529,1294,PG1571,,Critias,Plato,-428,-348.0,['en'],503,{'Classical literature'},,Critias,Plato,http://www.wikidata.org/entity/Q1335321,http://www.wikidata.org/entity/Q859,-428,Plato,Q1335321,Q859,Plato
530,1295,PG15723,,"The Rover Boys on Treasure Isle; Or, The Strange Cruise of the Steam Yacht","Stratemeyer, Edward",1862,1930.0,['en'],10,"{'Brothers -- Juvenile fiction', 'Yachts -- Juvenile fiction', 'Treasure troves -- Juvenile fiction'}",,The Rover Boys on Treasure Isle,Stratemeyer,http://www.wikidata.org/entity/Q19912624,http://www.wikidata.org/entity/Q1293795,1862,Edward Stratemeyer,Q19912624,Q1293795,Edward Stratemeyer
