,word,count_s,corpos_S
949,ants,104,5150227
950,rise,455,5150227
951,fingers,749,5150227
952,desire,566,5150227
953,afterwards,385,5150227
954,slipped,369,5150227
955,wait,840,5150227
956,dozen,556,5150227
957,base,772,5150227
958,drifting,178,5150227
959,gripped,177,5150227
960,neck,528,5150227
961,bare,322,5150227
962,grown,229,5150227
963,upper,523,5150227
964,finding,370,5150227
965,hot,631,5150227
966,desolation,91,5150227
967,lid,62,5150227
968,crawl,93,5150227
969,blowing,145,5150227
970,trace,332,5150227
971,gully,32,5150227
972,surely,512,5150227
973,grotesque,141,5150227
974,hollow,268,5150227
975,cities,364,5150227
976,bayonet,21,5150227
977,bellowing,45,5150227
978,continually,124,5150227
979,confound,40,5150227
980,carry,655,5150227
981,mile,494,5150227
982,physical,571,5150227
983,inhuman,66,5150227
984,figures,426,5150227
985,english,697,5150227
986,marched,139,5150227
987,learn,630,5150227
988,carcasses,17,5150227
989,hatchets,25,5150227
990,multitude,215,5150227
991,return,1598,5150227
992,master,721,5150227
993,gives,238,5150227
994,ushers,10,5150227
995,throne,281,5150227
996,building,830,5150227
997,landing,482,5150227
998,slightest,235,5150227
999,directions,224,5150227
1000,details,297,5150227
1001,invariably,64,5150227
1002,fit,320,5150227
1003,unless,711,5150227
1004,tumult,171,5150227
1005,clean,324,5150227
1006,scenario,6,5150227
1007,electric,547,5150227
1008,returned,1340,5150227
1009,formed,555,5150227
1010,occupied,431,5150227
1011,wished,477,5150227
1012,suggested,505,5150227
1013,interested,418,5150227
1014,confess,187,5150227
1015,bit,1041,5150227
1016,satisfaction,216,5150227
1017,trained,214,5150227
1018,proposed,139,5150227
1019,moments,358,5150227
1020,settled,355,5150227
1021,general,909,5150227
1022,search,548,5150227
1023,opaque,49,5150227
1024,believed,443,5150227
1025,detail,249,5150227
1026,reading,399,5150227
1027,company,599,5150227
1028,gun,710,5150227
1029,merely,632,5150227
1030,boy,886,5150227
1031,grow,297,5150227
1032,dare,291,5150227
1033,aspect,181,5150227
1034,stage,347,5150227
1035,sank,274,5150227
1036,temperature,308,5150227
1037,furnace,79,5150227
1038,attempted,208,5150227
1039,seeing,525,5150227
1040,whirled,194,5150227
1041,lifted,667,5150227
1042,swaying,139,5150227
1043,entered,1074,5150227
1044,clinging,146,5150227
1045,extended,283,5150227
1046,heavens,223,5150227
1047,ear,362,5150227
1048,kind,1471,5150227
1049,due,444,5150227
1050,rising,639,5150227
1051,considered,443,5150227
1052,globe,359,5150227
1053,method,301,5150227
1054,decide,168,5150227
1055,easily,699,5150227
1056,heavy,1131,5150227
1057,smaller,412,5150227
1058,system,1054,5150227
1059,forthwith,85,5150227
1060,cylinders,56,5150227
1061,beat,370,5150227
1062,around,2568,5150227
1063,horrible,307,5150227
1064,leaves,349,5150227
1065,she,18432,5150227
1066,twilight,186,5150227
1067,bottom,528,5150227
1068,none,1140,5150227
1069,blankets,61,5150227
1070,assisted,64,5150227
1071,pressed,381,5150227
1072,gulf,184,5150227
1073,cases,224,5150227
1074,violent,271,5150227
1075,forget,531,5150227
1076,creeping,126,5150227
1077,overhead,282,5150227
1078,falls,202,5150227
1079,sharp,450,5150227
1080,infinitely,122,5150227
1081,crack,162,5150227
1082,freezing,33,5150227
1083,hours,1661,5150227
1084,eating,208,5150227
1085,softly,340,5150227
1086,blinded,102,5150227
1087,tide,239,5150227
1088,describe,227,5150227
1089,features,287,5150227
1090,landscape,136,5150227
1091,indistinct,69,5150227
1092,intense,278,5150227
1093,bound,499,5150227
1094,wider,113,5150227
1095,circular,195,5150227
1096,walls,871,5150227
1097,crept,266,5150227
1098,denser,30,5150227
1099,bank,513,5150227
1100,receded,64,5150227
1101,brilliant,370,5150227
1102,louder,146,5150227
1103,burst,476,5150227
1104,interval,160,5150227
1105,hanging,249,5150227
1106,crouched,155,5150227
1107,spiky,9,5150227
1108,thread,131,5150227
1109,spikes,31,5150227
1110,diameter,261,5150227
1111,die,820,5150227
1112,jungle,144,5150227
1113,throbbing,90,5150227
1114,note,585,5150227
1115,stepped,700,5150227
1116,drove,500,5150227
1117,heart,1601,5150227
1118,thicket,78,5150227
1119,fro,172,5150227
1120,weird,190,5150227
1121,waving,172,5150227
1122,mask,113,5150227
1123,dared,295,5150227
1124,perfect,614,5150227
1125,leathery,29,5150227
1126,presented,313,5150227
1127,purposes,143,5150227
1128,series,348,5150227
1129,pain,619,5150227
1130,tied,171,5150227
1131,killed,673,5150227
1132,twittering,17,5150227
1133,trying,1038,5150227
1134,structure,239,5150227
1135,shafts,59,5150227
1136,pale,546,5150227
1137,drawn,602,5150227
1138,died,821,5150227
1139,narrow,614,5150227
1140,rim,106,5150227
1141,crowbars,8,5150227
1142,special,383,5150227
1143,egg,148,5150227
1144,guess,529,5150227
1145,waiter,42,5150227
1146,cooling,59,5150227
1147,description,186,5150227
1148,begins,81,5150227
1149,experiments,161,5150227
1150,intercourse,86,5150227
1151,giddy,53,5150227
1152,astonishing,117,5150227
1153,abstract,50,5150227
1154,utterly,322,5150227
1155,surrounded,290,5150227
1156,wealth,193,5150227
1157,wisdom,207,5150227
1158,risks,49,5150227
1159,supposed,415,5150227
1160,reckoned,52,5150227
1161,laid,559,5150227
1162,marsh,42,5150227
1163,weather,282,5150227
1164,houses,425,5150227
1165,worst,261,5150227
1166,memory,538,5150227
1167,setting,235,5150227
1168,faded,228,5150227
1169,cricket,43,5150227
1170,buzzing,34,5150227
1171,throat,456,5150227
1172,watch,860,5150227
1173,gesticulating,55,5150227
1174,relatively,60,5150227
1175,best,1420,5150227
1176,minutes,1373,5150227
1177,speak,1274,5150227
1178,awakened,178,5150227
1179,distress,98,5150227
1180,hat,310,5150227
1181,bearing,320,5150227
1182,character,353,5150227
1183,called,1936,5150227
1184,dear,976,5150227
1185,threw,690,5150227
1186,willing,297,5150227
1187,hour,1604,5150227
1188,care,990,5150227
1189,remark,168,5150227
1190,novel,146,5150227
1191,fourteen,136,5150227
1192,catch,434,5150227
1193,evidently,586,5150227
1194,conviction,160,5150227
1195,humming,75,5150227
