book,author,birthYear,bookLabel,authorLabel,authorLast,book_QN,author_QN
http://www.wikidata.org/entity/Q117748698,http://www.wikidata.org/entity/Q3664258,1835,Poems,Celia Thaxter,Thaxter,Q117748698,Q3664258
http://www.wikidata.org/entity/Q120177616,http://www.wikidata.org/entity/Q71456,1748,Poems,Ludwig Christoph Heinrich Hölty,Hölty,Q120177616,Q71456
http://www.wikidata.org/entity/Q68824234,http://www.wikidata.org/entity/Q729597,1518,The War of Chupas,Pedro Cieza de León,León,Q68824234,Q729597
http://www.wikidata.org/entity/Q68824234,http://www.wikidata.org/entity/Q729597,1520,The War of Chupas,Pedro Cieza de León,León,Q68824234,Q729597
http://www.wikidata.org/entity/Q1168105,http://www.wikidata.org/entity/Q5686,1812,The Mystery of Edwin Drood,Charles Dickens,Dickens,Q1168105,Q5686
http://www.wikidata.org/entity/Q12071418,http://www.wikidata.org/entity/Q348489,1730,Travels to Discover the Source of the Nile,James Bruce,Bruce,Q12071418,Q348489
http://www.wikidata.org/entity/Q68824312,http://www.wikidata.org/entity/Q4236309,1861,The Simple Adventures of a Memsahib,Sara Jeannette Duncan,Duncan,Q68824312,Q4236309
http://www.wikidata.org/entity/Q2028190,http://www.wikidata.org/entity/Q5679,1788,Mazeppa,Lord Byron,Byron,Q2028190,Q5679
http://www.wikidata.org/entity/Q68080894,http://www.wikidata.org/entity/Q1242472,1834,In a Quiet Village,Sabine Baring-Gould,Baring-Gould,Q68080894,Q1242472
http://www.wikidata.org/entity/Q137869,http://www.wikidata.org/entity/Q504,1840,Germinal,Émile Zola,Zola,Q137869,Q504
http://www.wikidata.org/entity/Q111172520,http://www.wikidata.org/entity/Q366325,1887,Tanár úr kérem,Frigyes Karinthy,Karinthy,Q111172520,Q366325
http://www.wikidata.org/entity/Q22084324,http://www.wikidata.org/entity/Q184226,1925,Nietzsche,Gilles Deleuze,Deleuze,Q22084324,Q184226
http://www.wikidata.org/entity/Q60114840,http://www.wikidata.org/entity/Q43673512,1960,Nietzsche,Bruno Favrit,Favrit,Q60114840,Q43673512
http://www.wikidata.org/entity/Q89591589,http://www.wikidata.org/entity/Q78491,1881,Nietzsche,Stefan Zweig,Zweig,Q89591589,Q78491
http://www.wikidata.org/entity/Q3355874,http://www.wikidata.org/entity/Q9068,1694,Orestes,Voltaire,Voltaire,Q3355874,Q9068
http://www.wikidata.org/entity/Q3885529,http://www.wikidata.org/entity/Q296244,1749,Orestes,Vittorio Alfieri,Alfieri,Q3885529,Q296244
http://www.wikidata.org/entity/Q3885530,http://www.wikidata.org/entity/Q885446,455,Orestes,Dracontius,Dracontius,Q3885530,Q885446
http://www.wikidata.org/entity/Q4019256,http://www.wikidata.org/entity/Q81796,1860,What Every Woman Knows,J. M. Barrie,Barrie,Q4019256,Q81796
http://www.wikidata.org/entity/Q7749511,http://www.wikidata.org/entity/Q3157322,1907,The Magical Mimics in Oz,Jack Snow,Snow,Q7749511,Q3157322
http://www.wikidata.org/entity/Q1189993,http://www.wikidata.org/entity/Q42831,1818,First Love,Ivan Turgenev,Turgenev,Q1189993,Q42831
http://www.wikidata.org/entity/Q2007957,http://www.wikidata.org/entity/Q37327,1906,First Love,Samuel Beckett,Beckett,Q2007957,Q37327
http://www.wikidata.org/entity/Q5453229,http://www.wikidata.org/entity/Q1439360,1731,First Love,Richard Cumberland,Cumberland,Q5453229,Q1439360
http://www.wikidata.org/entity/Q5453229,http://www.wikidata.org/entity/Q1439360,1732,First Love,Richard Cumberland,Cumberland,Q5453229,Q1439360
http://www.wikidata.org/entity/Q83922365,http://www.wikidata.org/entity/Q11476362,1983,First Love,Rio Shimamoto,Shimamoto,Q83922365,Q11476362
http://www.wikidata.org/entity/Q68823974,http://www.wikidata.org/entity/Q109265455,1648,Samling af Swenska Ordspråk,Lars Rhodin,Rhodin,Q68823974,Q109265455
http://www.wikidata.org/entity/Q68823990,http://www.wikidata.org/entity/Q958310,1897,The Birth of Civilization in the Near East,Henri Frankfort,Frankfort,Q68823990,Q958310
http://www.wikidata.org/entity/Q62075053,http://www.wikidata.org/entity/Q5345038,1855,Legends of Fire Island Beach and the South Side,Edward Richard Shaw,Shaw,Q62075053,Q5345038
http://www.wikidata.org/entity/Q7757999,http://www.wikidata.org/entity/Q3090506,1611,The Practice of the Presence of God,Brother Lawrence,Lawrence,Q7757999,Q3090506
http://www.wikidata.org/entity/Q7757999,http://www.wikidata.org/entity/Q3090506,1614,The Practice of the Presence of God,Brother Lawrence,Lawrence,Q7757999,Q3090506
http://www.wikidata.org/entity/Q68824018,http://www.wikidata.org/entity/Q379621,1825,Árnyképek,Mór Jókai,Jókai,Q68824018,Q379621
http://www.wikidata.org/entity/Q164974,http://www.wikidata.org/entity/Q5686,1812,Oliver Twist,Charles Dickens,Dickens,Q164974,Q5686
http://www.wikidata.org/entity/Q727408,http://www.wikidata.org/entity/Q82925,1857,Lord Jim,Joseph Conrad,Conrad,Q727408,Q82925
http://www.wikidata.org/entity/Q56611462,http://www.wikidata.org/entity/Q1160957,1873,Contemporary Composers,Daniel Gregory Mason,Mason,Q56611462,Q1160957
http://www.wikidata.org/entity/Q68080826,http://www.wikidata.org/entity/Q112118678,1880,Head of the Lower School,Dorothea Moore,Moore,Q68080826,Q112118678
http://www.wikidata.org/entity/Q7776882,http://www.wikidata.org/entity/Q2137717,1803,The Zincali,George Borrow,Borrow,Q7776882,Q2137717
http://www.wikidata.org/entity/Q6946455,http://www.wikidata.org/entity/Q47115595,1969,My Story,Julie Couillard,Couillard,Q6946455,Q47115595
http://www.wikidata.org/entity/Q6946458,http://www.wikidata.org/entity/Q5494995,1942,My Story,Fred Dinenage,Dinenage,Q6946458,Q5494995
http://www.wikidata.org/entity/Q6946458,http://www.wikidata.org/entity/Q16867616,1933,My Story,Ronnie Kray,Kray,Q6946458,Q16867616
http://www.wikidata.org/entity/Q16387214,http://www.wikidata.org/entity/Q594565,1934,My Story,Kamala Surayya,Surayya,Q16387214,Q594565
http://www.wikidata.org/entity/Q17014817,http://www.wikidata.org/entity/Q188461,1971,My Story,Dannii Minogue,Minogue,Q17014817,Q188461
http://www.wikidata.org/entity/Q23019804,http://www.wikidata.org/entity/Q41563,1961,My Story,Julia Gillard,Gillard,Q23019804,Q41563
http://www.wikidata.org/entity/Q7735316,http://www.wikidata.org/entity/Q263067,1868,The Friends of Voltaire,Evelyn Beatrice Hall,Hall,Q7735316,Q263067
http://www.wikidata.org/entity/Q31837262,http://www.wikidata.org/entity/Q191050,1842,A Son of the Gods,Ambrose Bierce,Bierce,Q31837262,Q191050
http://www.wikidata.org/entity/Q3629872,http://www.wikidata.org/entity/Q228494,1806,Aurora Leigh,Elizabeth Barrett Browning,Browning,Q3629872,Q228494
http://www.wikidata.org/entity/Q2997898,http://www.wikidata.org/entity/Q9327,1850,Correspondance,Guy de Maupassant,Maupassant,Q2997898,Q9327
http://www.wikidata.org/entity/Q3940410,http://www.wikidata.org/entity/Q504,1840,Rome,Émile Zola,Zola,Q3940410,Q504
http://www.wikidata.org/entity/Q7760240,http://www.wikidata.org/entity/Q30043194,1858,The Republic of the Future,Anna Bowman Dodd,Dodd,Q7760240,Q30043194
http://www.wikidata.org/entity/Q4996134,http://www.wikidata.org/entity/Q943991,1796,Bulfinch's Mythology,Thomas Bulfinch,Bulfinch,Q4996134,Q943991
http://www.wikidata.org/entity/Q123375113,http://www.wikidata.org/entity/Q1107985,1845,Joseph Priestley,Thomas Edward Thorpe,Thorpe,Q123375113,Q1107985
http://www.wikidata.org/entity/Q15032736,http://www.wikidata.org/entity/Q3157322,1907,The Shaggy Man of Oz,Jack Snow,Snow,Q15032736,Q3157322
http://www.wikidata.org/entity/Q7719685,http://www.wikidata.org/entity/Q34970,1885,The Boy in the Bush,D. H. Lawrence,Lawrence,Q7719685,Q34970
http://www.wikidata.org/entity/Q5163201,http://www.wikidata.org/entity/Q50020,1806,Considerations on Representative Government,John Stuart Mill,Mill,Q5163201,Q50020
http://www.wikidata.org/entity/Q1212765,http://www.wikidata.org/entity/Q38392,1897,Sanctuary,William Faulkner,Faulkner,Q1212765,Q38392
http://www.wikidata.org/entity/Q6121475,http://www.wikidata.org/entity/Q276032,1862,Sanctuary,Edith Wharton,Wharton,Q6121475,Q276032
http://www.wikidata.org/entity/Q7415692,http://www.wikidata.org/entity/Q1412142,1955,Sanctuary,Jeff Mariotte,Mariotte,Q7415692,Q1412142
http://www.wikidata.org/entity/Q7415695,http://www.wikidata.org/entity/Q5230500,1968,Sanctuary,David A. McIntee,McIntee,Q7415695,Q5230500
http://www.wikidata.org/entity/Q7415703,http://www.wikidata.org/entity/Q968980,1942,Sanctuary,David Williamson,Williamson,Q7415703,Q968980
http://www.wikidata.org/entity/Q11305529,http://www.wikidata.org/entity/Q238970,1964,Sanctuary,Banana Yoshimoto,Yoshimoto,Q11305529,Q238970
http://www.wikidata.org/entity/Q17177388,http://www.wikidata.org/entity/Q35064,1890,Sanctuary,Agatha Christie,Christie,Q17177388,Q35064
http://www.wikidata.org/entity/Q54807396,http://www.wikidata.org/entity/Q1702027,1951,Sanctuary,John Vornholt,Vornholt,Q54807396,Q1702027
http://www.wikidata.org/entity/Q1677745,http://www.wikidata.org/entity/Q40909,1882,Jacob's Room,Virginia Woolf,Woolf,Q1677745,Q40909
http://www.wikidata.org/entity/Q124083715,http://www.wikidata.org/entity/Q298152,1816,Home Scenes and Heart Studies,Grace Aguilar,Aguilar,Q124083715,Q298152
http://www.wikidata.org/entity/Q5757007,http://www.wikidata.org/entity/Q436712,1959,High Society,Ben Elton,Elton,Q5757007,Q436712
http://www.wikidata.org/entity/Q7742398,http://www.wikidata.org/entity/Q181730,1944,The Invaders,John Flanagan,Flanagan,Q7742398,Q181730
http://www.wikidata.org/entity/Q97276377,http://www.wikidata.org/entity/Q551710,1915,The Invaders,Henry Kuttner,Kuttner,Q97276377,Q551710
http://www.wikidata.org/entity/Q185825,http://www.wikidata.org/entity/Q42156,1859,Time and Free Will,Henri Bergson,Bergson,Q185825,Q42156
http://www.wikidata.org/entity/Q6455906,http://www.wikidata.org/entity/Q366930,1861,L'auca del senyor Esteve,Santiago Rusiñol i Prats,Prats,Q6455906,Q366930
http://www.wikidata.org/entity/Q115484786,http://www.wikidata.org/entity/Q376303,1939,Heart of Europe,Norman Davies,Davies,Q115484786,Q376303
http://www.wikidata.org/entity/Q17008213,http://www.wikidata.org/entity/Q5362493,1846,New Amazonia,Elizabeth Burgoyne Corbett,Corbett,Q17008213,Q5362493
http://www.wikidata.org/entity/Q1047005,http://www.wikidata.org/entity/Q189454,1831,The Secret Doctrine,Helena Blavatsky,Blavatsky,Q1047005,Q189454
http://www.wikidata.org/entity/Q7718844,http://www.wikidata.org/entity/Q1351464,1897,The Blue Star,Fletcher Pratt,Pratt,Q7718844,Q1351464
http://www.wikidata.org/entity/Q84715803,http://www.wikidata.org/entity/Q173869,1809,Maud,Alfred Tennyson,Tennyson,Q84715803,Q173869
http://www.wikidata.org/entity/Q3387935,http://www.wikidata.org/entity/Q9327,1850,Pierrot,Guy de Maupassant,Maupassant,Q3387935,Q9327
http://www.wikidata.org/entity/Q5245598,http://www.wikidata.org/entity/Q438024,1947,Deadlock,Sara Paretsky,Paretsky,Q5245598,Q438024
http://www.wikidata.org/entity/Q1189993,http://www.wikidata.org/entity/Q42831,1818,First Love,Ivan Turgenev,Turgenev,Q1189993,Q42831
http://www.wikidata.org/entity/Q2007957,http://www.wikidata.org/entity/Q37327,1906,First Love,Samuel Beckett,Beckett,Q2007957,Q37327
http://www.wikidata.org/entity/Q5453229,http://www.wikidata.org/entity/Q1439360,1731,First Love,Richard Cumberland,Cumberland,Q5453229,Q1439360
http://www.wikidata.org/entity/Q5453229,http://www.wikidata.org/entity/Q1439360,1732,First Love,Richard Cumberland,Cumberland,Q5453229,Q1439360
http://www.wikidata.org/entity/Q83922365,http://www.wikidata.org/entity/Q11476362,1983,First Love,Rio Shimamoto,Shimamoto,Q83922365,Q11476362
http://www.wikidata.org/entity/Q57737295,http://www.wikidata.org/entity/Q5498387,1859,The Midnight Guest,Frederick Merrick White,White,Q57737295,Q5498387
