,id,title,language,downloads,book_QN,author_QN,authorLabel
2603,PG50852,"The Bells, and Other Poems",['en'],283,Q2087131,Q16867,Edgar Allan Poe
2604,PG50863,Alien Minds,['en'],64,Q4726444,Q5321848,E. Everett Evans
2605,PG5089,Boris Godunov: a drama in verse,['en'],207,Q893665,Q7200,Alexander Pushkin
2606,PG508,Twice-Told Tales,['en'],219,Q2920815,Q69339,Nathaniel Hawthorne
2607,PG50906,Savrola: A Tale of the Revolution in Laurania,['en'],59,Q2228245,Q8016,Winston Churchill
2608,PG5093,The Little Minister,['en'],39,Q42185785,Q81796,J. M. Barrie
2609,PG50948,Of All Possible Worlds,['en'],56,Q7078724,Q968565,William Tenn
2610,PG50966,"On the Fourfold Root of the Principle of Sufficient Reason, and On the Will in Nature: Two Essays (revised edition)",['en'],418,Q1762229,Q38193,Arthur Schopenhauer
2611,PG50984,Die Macht der Drei: Ein Roman aus dem Jahre 1955,['de'],54,Q1214659,Q73784,Hans Dominik
2612,PG51060,"The Narrative of Arthur Gordon Pym of Nantucket: Comprising the details of a mutiny and atrocious butchery on board the American brig Grampus, on her way to the South Seas, in the month of June, 1827.",['en'],1152,Q615383,Q16867,Edgar Allan Poe
2613,PG5106,"The Canadian Brothers; Or, The Prophecy Fulfilled: A Tale of the Late American War — Volume 1",['en'],19,Q110271795,Q15506292,John Richardson
2614,PG5107,"The Canadian Brothers; Or, The Prophecy Fulfilled: A Tale of the Late American War — Volume 2",['en'],32,Q110271795,Q15506292,John Richardson
2615,PG5108,"The Canadian Brothers; Or, The Prophecy Fulfilled: A Tale of the Late American War — Complete",['en'],25,Q110271795,Q15506292,John Richardson
2616,PG51082,Coming Attraction,['en'],239,Q5151902,Q313185,Fritz Leiber
2617,PG51085,Helen's Babies,['en'],24,Q17042236,Q1700337,John Habberton
2618,PG51161,Degeneration,['en'],251,Q4129177,Q472270,Max Nordau
2619,PG5118,The American Senator,['en'],147,Q7713563,Q318399,Anthony Trollope
2620,PG51213,"The Art of Bookbinding: A practical treatise, with plates and diagrams",['en'],145,Q19078488,Q15982460,Joseph William Zaehnsdorf
2621,PG51220,Crito,['la'],34,Q267634,Q859,Plato
2622,PG5122,The Trail of the Lonesome Pine,['en'],123,Q7769881,Q1700099,John Fox
2623,PG51233,The Marching Morons,['en'],1882,Q7750295,Q376859,Cyril M. Kornbluth
2624,PG51235,"Robert Helmont: Diary of a Recluse, 1870-1871",['en'],23,Q7345389,Q228546,Alphonse Daudet
2625,PG51236,Intentions,['fr'],77,Q3799362,Q30875,Oscar Wilde
2626,PG51263,The Scarecrow of Oz,['en'],187,Q7762405,Q207544,L. Frank Baum
2627,PG5129,The Prodigal Judge,['en'],80,Q22073690,Q7917297,Vaughan Kester
2628,PG51356,"The Birth of Tragedy; or, Hellenism and Pessimism",['en'],2061,Q1053359,Q9358,Friedrich Nietzsche
2629,PG5135,The Fortune of the Rougons,['en'],219,Q2714636,Q504,Émile Zola
2630,PG51385,"Masks and Faces; or, Before and Behind the Curtain: A Comedy in Two Acts",['en'],20,Q25182732,Q247473,Charles Reade
2631,PG51391,Famous Impostors,['en'],162,Q5433458,Q36184,Bram Stoker
2632,PG5140,He Knew He Was Right,['en'],144,Q5688834,Q318399,Anthony Trollope
2633,PG51425,The Autobiography of a Super-Tramp,['en'],87,Q2368111,Q985138,W. H. Davies
2634,PG5142,Graustark,['en'],56,Q42184976,Q5536746,George Barr McCutcheon
2635,PG51459,The Analysis of Beauty: Written with a view of fixing the fluctuating ideas of taste,['en'],199,Q3818552,Q171344,William Hogarth
2636,PG51461,A Pail of Air,['en'],771,Q4658687,Q313185,Fritz Leiber
2637,PG51476,Der Golem,['de'],185,Q111239457,Q78511,Gustav Meyrink
2638,PG5148,Rodney Stone,['en'],112,Q4395914,Q35610,Arthur Conan Doyle
2639,PG51497,Tales from the Telling-House,['en'],13,Q124086808,Q3316148,Richard Doddridge Blackmore
2640,PG514,Little Women,['en'],8349,Q523076,Q185696,Louisa May Alcott
2641,PG51544,The State: Its History and Development Viewed Sociologically,['en'],30,Q5236462,Q57940,Franz Oppenheimer
2642,PG5154,La Bête humaine,['fr'],128,Q942810,Q504,Émile Zola
